Time,Strain
-1.230468749125,5.115598428849436e-25
-1.2302246085,5.30220640212909e-25
-1.229980467875,5.538102467607941e-25
-1.22973632725,5.823274096126165e-25
-1.229492186625,6.15769593111581e-25
-1.229248046,6.541371867040442e-25
-1.229003905375,6.974338377417135e-25
-1.22875976475,7.456630915524144e-25
-1.228515624125,7.988224828796143e-25
-1.2282714835,8.568966475600059e-25
-1.228027342875,9.198510199410857e-25
-1.22778320225,9.876274447806793e-25
-1.227539061625,1.0601425963654017e-24
-1.227294921,1.1372894253926118e-24
-1.227050780375,1.2189411180880476e-24
-1.22680663975,1.3049565906018394e-24
-1.226562499125,1.3951865155148918e-24
-1.2263183585,1.4894790409713604e-24
-1.226074217875,1.5876843708515192e-24
-1.22583007725,1.6896572053553245e-24
-1.225585936625,1.7952560889818417e-24
-1.225341796,1.9043393169816995e-24
-1.225097655375,2.0167580892704675e-24
-1.22485351475,2.132348577181664e-24
-1.224609374125,2.2509250472227778e-24
-1.2243652335,2.3722760565752024e-24
-1.224121092875,2.496165077643223e-24
-1.22387695225,2.6223358100230856e-24
-1.223632811625,2.7505210716518744e-24
-1.223388671,2.8804529669818508e-24
-1.223144530375,3.0118715719344552e-24
-1.22290038975,3.144529905890079e-24
-1.222656249125,3.278194175251999e-24
-1.2224121085,3.412639557924271e-24
-1.222167967875,3.5476427601883294e-24
-1.22192382725,3.682973186574494e-24
-1.221679686625,3.818384874351739e-24
-1.221435546,3.9536112354831556e-24
-1.221191405375,4.08836394208879e-24
-1.22094726475,4.222336138923873e-24
-1.220703124125,4.3552090541514116e-24
-1.2204589835,4.486660446961433e-24
-1.220214842875,4.6163732161001735e-24
-1.21997070225,4.7440426268439566e-24
-1.219726561625,4.869380829829683e-24
-1.219482421,4.9921177274554826e-24
-1.219238280375,5.1119979097893674e-24
-1.21899413975,5.228774214470146e-24
-1.218749999125,5.342199209151341e-24
-1.2185058585,5.452016402205421e-24
-1.218261717875,5.557953273314466e-24
-1.21801757725,5.659718193694527e-24
-1.217773436625,5.757002709527824e-24
-1.217529296,5.849489325118106e-24
-1.217285155375,5.9368631770504216e-24
-1.21704101475,6.018824610911636e-24
-1.216796874125,6.09509931491163e-24
-1.2165527335,6.1654434133022045e-24
-1.216308592875,6.229642343067906e-24
-1.21606445225,6.287503917289854e-24
-1.215820311625,6.33884739766449e-24
-1.215576171,6.3834914077734996e-24
-1.215332030375,6.421243836281724e-24
-1.21508788975,6.451896313303877e-24
-1.214843749125,6.4752245806690924e-24
-1.2145996085,6.4909946061624404e-24
-1.214355467875,6.498973052049549e-24
-1.21411132725,6.498939849181313e-24
-1.213867186625,6.490700150671553e-24
-1.213623046,6.474092975261465e-24
-1.213378905375,6.4489945814691345e-24
-1.21313476475,6.415315927620466e-24
-1.212890624125,6.372994964986977e-24
-1.2126464835,6.321985470312618e-24
-1.212402342875,6.262244601421192e-24
-1.21215820225,6.193721648249253e-24
-1.211914061625,6.116350658290325e-24
-1.211669921,6.0300493254288694e-24
-1.211425780375,5.934725275987164e-24
-1.21118163975,5.830288805311924e-24
-1.210937499125,5.7166690877939986e-24
-1.2106933585,5.5938298279922356e-24
-1.210449217875,5.461780507157812e-24
-1.21020507725,5.3205804250575854e-24
-1.209960936625,5.1703341926732235e-24
-1.209716796,5.011179086297679e-24
-1.209472655375,4.843266698849089e-24
-1.20922851475,4.666743212876499e-24
-1.208984374125,4.481733580230094e-24
-1.2087402335,4.288334262725621e-24
-1.208496092875,4.086616963152717e-24
-1.20825195225,3.876642625724763e-24
-1.208007811625,3.658481946399759e-24
-1.207763671,3.43223671593618e-24
-1.207519530375,3.198056229825565e-24
-1.20727538975,2.9561447947642534e-24
-1.207031249125,2.7067592461306246e-24
-1.2067871085,2.450198015733035e-24
-1.206542967875,2.1867846019031205e-24
-1.20629882725,1.916848302857506e-24
-1.206054686625,1.6407047480001238e-24
-1.205810546,1.3586390578243747e-24
-1.205566405375,1.0708953645235536e-24
-1.20532226475,7.776768898367876e-25
-1.205078124125,4.791595741149734e-25
-1.2048339835,1.7551894013128455e-25
-1.204589842875,-1.3303482995449464e-25
-1.20434570225,-4.462230581351489e-25
-1.204101561625,-7.636775350458801e-25
-1.203857421,-1.0849419652475886e-24
-1.203613280375,-1.4094993491132886e-24
-1.20336913975,-1.73681984036662e-24
-1.203124999125,-2.0664153688186787e-24
-1.2028808585,-2.3978833712781255e-24
-1.202636717875,-2.730924356825974e-24
-1.20239257725,-3.0653261268033832e-24
-1.202148436625,-3.4009183833090765e-24
-1.201904296,-3.737511368604878e-24
-1.201660155375,-4.07483774377141e-24
-1.20141601475,-4.4125162519064654e-24
-1.201171874125,-4.75004893135704e-24
-1.2009277335,-5.086852948156007e-24
-1.200683592875,-5.422317149936296e-24
-1.20043945225,-5.755865943119961e-24
-1.200195311625,-6.0870113647901376e-24
-1.199951171,-6.415378413857788e-24
-1.199707030375,-6.740697109405313e-24
-1.19946288975,-7.0627646758977e-24
-1.199218749125,-7.381389857647581e-24
-1.1989746085,-7.69633619256644e-24
-1.198730467875,-8.00728070139612e-24
-1.19848632725,-8.31379912053866e-24
-1.198242186625,-8.615380462644899e-24
-1.197998046,-8.911465233820365e-24
-1.197753905375,-9.201495607926615e-24
-1.19750976475,-9.484963589629409e-24
-1.197265624125,-9.76144473137288e-24
-1.1970214835,-1.0030609523383395e-23
-1.196777342875,-1.0292210834263599e-23
-1.19653320225,-1.0546052095707055e-23
-1.196289061625,-1.0791945617592286e-23
-1.196044921,-1.1029672322818205e-23
-1.195800780375,-1.1258953121467073e-23
-1.19555663975,-1.1479438701176021e-23
-1.195312499125,-1.1690719687109636e-23
-1.1950683585,-1.1892353959870897e-23
-1.194824217875,-1.2083903552743901e-23
-1.19458007725,-1.2264971184264765e-23
-1.194335936625,-1.243522694802662e-23
-1.194091796,-1.259441883028535e-23
-1.193847655375,-1.274236540738996e-23
-1.19360351475,-1.2878933722844982e-23
-1.193359374125,-1.3004008775482454e-23
-1.1931152335,-1.3117462688793201e-23
-1.192871092875,-1.3219131335761623e-23
-1.19262695225,-1.3308804028098813e-23
-1.192382811625,-1.338622831613544e-23
-1.192138671,-1.3451127942301573e-23
-1.191894530375,-1.3503228753551118e-23
-1.19165038975,-1.3542285759624288e-23
-1.191406249125,-1.356810472468734e-23
-1.1911621085,-1.3580553405142816e-23
-1.190917967875,-1.3579560320422824e-23
-1.19067382725,-1.356510215888474e-23
-1.190429686625,-1.3537183747595122e-23
-1.190185546,-1.3495816080463246e-23
-1.189941405375,-1.3440997769390155e-23
-1.18969726475,-1.33727038100349e-23
-1.189453124125,-1.329088352986259e-23
-1.1892089835,-1.3195467659412837e-23
-1.188964842875,-1.3086382777880247e-23
-1.18872070225,-1.2963569910169315e-23
-1.188476561625,-1.2827003027815316e-23
-1.188232421,-1.2676703077035219e-23
-1.187988280375,-1.2512744189143074e-23
-1.18774413975,-1.2335250651369155e-23
-1.187499999125,-1.2144385451983863e-23
-1.1872558585,-1.194033322294859e-23
-1.187011717875,-1.1723281788578497e-23
-1.18676757725,-1.1493406945015962e-23
-1.186523436625,-1.1250864266482003e-23
-1.186279296,-1.0995789769731136e-23
